,pixelPlant,pixelPole,pixelLake,pixelRoad,pixelGrass,pixelWall,pixelCar,propertiesAsses,pixelSea,numCraigslistHouse,pixelRiver,pixelBus,pixelCeiling,pixelPath,pixelBuilding,crime,walkSchool,walkMbta,energySiteEUI,pixelPerson,pixelTree,pixelVan,walkPark,walkUniversity,pixelSidewalk,pixelGround,pixelMountain,pixelPalmTree,pixelHouse,pixelBridge,pixelSign,pixelRailing,pixelField,pixelWindow,pixelGrandstand,numCraigslistRoom,pixelSky,Latitude,Longitude,Address,Zip,RoomType,Bathrooms,SQM,PricePerSQM
906,0.0,0.062,49.98,3.543,0.0,19.25,1.587,92594618.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,33.0,5.0,298.7,1.587,0.0,0.0,38.0,17.0,2.762,0.0,0.0,0.0,1.7169999999999999,0.0,0.327,0.0,0.0,0.0,0.0,0.0,12.92,42.349434,-71.0677,473,2116.0,1.0,1.0,65.0321,33.8294473037
907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75773994.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,18.0,2.0,0.0,0.0,0.0,0.0,13.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.344044,-71.07939,1004,2116.0,2.0,1.0,65.0321,34.5982983788
908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85397806.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,5.0,0.0,0.0,0.0,0.0,30.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.354225,-71.07275,2153,2116.0,1.0,1.0,92.90299999999999,33.368136658699996
909,1.808,0.0,2.79,1.033,1.845,38.97,0.0,105147573.0,0.033,0.0,0.027999999999999997,0.0,13.03,0.0,0.0,7.0,21.0,2.0,596.4,0.0,0.0,0.0,31.0,3.0,0.0,0.0,0.0,0.0,0.0,0.8029999999999999,0.07,0.064,0.0,0.0,0.0,0.0,0.363,42.346385999999995,-71.07504,1470,2116.0,3.0,2.5,232.2575,20.8819951993
910,2.827,0.0,19.12,1.879,0.0,47.04,0.0,45562831.0,0.595,0.0,0.0,0.0,0.877,0.0,0.0,0.0,17.0,2.0,0.0,0.0,0.0,0.0,22.0,3.0,0.297,0.0,0.158,0.0,0.0,0.138,1.851,2.03,0.0,0.0,0.0,0.0,2.3480000000000003,42.353615000000005,-71.076836,1247,2116.0,1.0,1.0,92.90299999999999,34.4445281638
911,2.827,0.0,19.12,1.879,0.0,47.04,0.0,45562831.0,0.595,0.0,0.0,0.0,0.877,0.0,0.0,0.0,17.0,2.0,0.0,0.0,0.0,0.0,22.0,3.0,0.297,0.0,0.158,0.0,0.0,0.138,1.851,2.03,0.0,0.0,0.0,0.0,2.3480000000000003,42.35318,-71.0766,1243,2116.0,1.0,1.0,60.38695,49.679607928500005
912,2.827,0.0,19.12,1.879,0.0,47.04,0.0,45562831.0,0.595,0.0,0.0,0.0,0.877,0.0,0.0,0.0,17.0,2.0,0.0,0.0,0.0,0.0,22.0,3.0,0.297,0.0,0.158,0.0,0.0,0.138,1.851,2.03,0.0,0.0,0.0,0.0,2.3480000000000003,42.35411,-71.07857,2731,2116.0,1.0,1.0,65.0321,29.216340853200002
913,0.0,0.0,50.12,6.65,0.0,2.184,0.395,41901034.0,0.0,0.0,0.0,3.5010000000000003,0.0,0.0,0.0,15.0,30.0,1.0,480.6,0.395,0.36,1.4269999999999998,19.0,40.0,3.6210000000000004,0.0,0.0,0.0,0.6990000000000001,0.0,0.075,0.0,0.0,0.0,0.0,1.0,3.6210000000000004,42.341045,-71.069626,2635,2118.0,3.0,2.0,123.746796,31.515967492199998
914,0.0,0.13699999999999998,78.12,1.883,0.0,1.696,6.081,37029278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,26.0,1.0,307.8,6.081,0.027000000000000003,0.006,15.0,38.0,1.9669999999999999,0.0,0.0,0.0,0.124,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.631,42.336290000000005,-71.07379,1735,2118.0,2.0,1.0,74.3224,29.6007663908
915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45900625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,35.0,1.0,0.0,0.0,0.0,0.0,21.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.342403000000004,-71.071434,2810,2118.0,1.0,1.0,71.999825,38.8889834107
